, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets, cibil_category
60,2, Not Graduate, No,8500000,18900000,18,478, Rejected,37300000,40100000,Poor
61,3, Not Graduate, Yes,9600000,30500000,18,669, Approved,35800000,6600000,Good
62,5, Not Graduate, Yes,8800000,28900000,6,365, Rejected,32100000,33000000,Poor
63,3, Not Graduate, Yes,3300000,7500000,20,586, Approved,13400000,7200000,Fair
64,4, Graduate, Yes,3900000,12300000,18,784, Approved,15900000,14500000,Excellent
65,1, Graduate, No,4100000,10300000,12,364, Rejected,17700000,15600000,Poor
66,3, Not Graduate, No,8300000,29100000,10,715, Approved,36000000,18000000,Good
67,0, Not Graduate, Yes,2700000,10100000,20,693, Rejected,7300000,1900000,Good
68,4, Graduate, No,5600000,12400000,4,777, Approved,17300000,8600000,Excellent
69,0, Graduate, No,1900000,5000000,12,312, Rejected,7300000,6800000,Poor
70,4, Not Graduate, Yes,500000,1500000,20,340, Rejected,2500000,300000,Poor
71,5, Graduate, Yes,5300000,18600000,4,386, Approved,16100000,12400000,Poor
72,5, Not Graduate, No,7000000,18300000,4,418, Rejected,29100000,30100000,Poor
73,3, Not Graduate, Yes,5800000,16700000,16,735, Approved,18200000,13300000,Good
74,2, Not Graduate, No,2600000,8400000,6,494, Rejected,7600000,10300000,Poor
75,2, Not Graduate, No,1900000,6500000,18,671, Approved,5900000,3100000,Good
76,4, Graduate, No,5700000,14800000,16,697, Approved,19200000,22100000,Good
77,0, Graduate, No,9000000,33500000,8,801, Approved,46500000,20500000,Excellent
78,2, Not Graduate, No,8500000,29400000,12,576, Approved,34200000,23200000,Fair
79,0, Not Graduate, No,700000,1400000,14,639, Approved,3300000,2600000,Fair
80,4, Graduate, No,3500000,8900000,4,470, Rejected,14300000,3500000,Poor
81,0, Not Graduate, No,8800000,31200000,4,826, Approved,41900000,3400000,Excellent
82,2, Not Graduate, Yes,9900000,21200000,16,363, Rejected,33400000,36900000,Poor
83,3, Graduate, No,3600000,8600000,20,613, Approved,13600000,9700000,Fair
84,3, Not Graduate, Yes,3000000,8200000,16,713, Approved,14400000,11100000,Good
85,2, Graduate, No,6800000,21200000,16,439, Rejected,26900000,21800000,Poor
86,5, Not Graduate, Yes,1100000,3800000,18,387, Rejected,5400000,2500000,Poor
87,1, Not Graduate, Yes,8700000,28300000,8,402, Rejected,38100000,34000000,Poor
88,4, Graduate, Yes,2000000,8000000,6,837, Approved,6800000,7700000,Excellent
89,2, Not Graduate, No,9800000,37600000,10,641, Approved,31000000,24100000,Fair
90,4, Graduate, No,5700000,21100000,18,489, Rejected,18500000,4800000,Poor
91,4, Graduate, No,8800000,20700000,18,540, Rejected,35100000,22400000,Poor
92,4, Graduate, No,3800000,8900000,4,844, Approved,17800000,12600000,Excellent
93,1, Graduate, No,1700000,6400000,10,452, Rejected,7700000,2000000,Poor
94,2, Graduate, No,1000000,2000000,10,366, Rejected,4500000,1600000,Poor
95,5, Graduate, No,300000,1100000,2,300, Approved,1100000,600000,Poor
96,2, Graduate, Yes,6600000,15000000,18,470, Rejected,25200000,6000000,Poor
97,2, Not Graduate, No,8700000,25000000,20,861, Approved,30500000,23200000,Excellent
98,4, Graduate, No,9400000,29400000,12,562, Approved,43500000,41100000,Fair
99,0, Graduate, No,4400000,10800000,14,463, Rejected,18500000,7200000,Poor
100,4, Not Graduate, No,400000,900000,12,478, Rejected,1300000,800000,Poor
101,2, Not Graduate, Yes,300000,1100000,2,702, Approved,700000,500000,Good
102,2, Not Graduate, Yes,4300000,12900000,20,618, Approved,13800000,15000000,Fair
103,4, Graduate, No,1600000,4500000,12,633, Approved,6000000,2400000,Fair
104,5, Not Graduate, Yes,6200000,23600000,10,331, Rejected,32500000,28800000,Poor
105,3, Not Graduate, Yes,4200000,9700000,16,841, Approved,21800000,8100000,Excellent
106,4, Not Graduate, Yes,9000000,18100000,12,764, Approved,32400000,17100000,Excellent
107,0, Graduate, No,2700000,10600000,6,591, Approved,11700000,4000000,Fair
108,1, Graduate, Yes,9700000,35900000,2,719, Approved,31300000,27200000,Good
109,2, Graduate, No,3300000,6800000,14,317, Rejected,15300000,3700000,Poor
110,0, Not Graduate, No,300000,1100000,8,778, Approved,1000000,1000000,Excellent
111,3, Graduate, Yes,7400000,18200000,14,302, Rejected,22900000,8700000,Poor
112,5, Not Graduate, No,7100000,19700000,8,502, Rejected,35100000,12900000,Poor
113,5, Not Graduate, Yes,7300000,22100000,18,879, Approved,29100000,30100000,Excellent
114,1, Not Graduate, No,8400000,23400000,14,437, Rejected,41500000,21200000,Poor
115,0, Not Graduate, Yes,3300000,10800000,12,797, Approved,11000000,6600000,Excellent
116,4, Not Graduate, Yes,5800000,23200000,18,456, Rejected,30100000,20300000,Poor
117,0, Not Graduate, No,600000,1600000,6,647, Approved,2200000,2100000,Fair
118,0, Not Graduate, No,7200000,15800000,12,379, Rejected,25100000,24900000,Poor
119,1, Not Graduate, Yes,9100000,32900000,2,717, Approved,29500000,4200000,Good
120,5, Graduate, No,900000,2300000,16,545, Rejected,3500000,300000,Poor
121,2, Graduate, No,800000,3200000,8,317, Rejected,2900000,1300000,Poor
122,1, Not Graduate, No,8500000,32900000,10,570, Approved,26000000,11300000,Fair
123,0, Not Graduate, Yes,9000000,18700000,18,865, Approved,32200000,26800000,Excellent
124,3, Graduate, No,7000000,19500000,14,719, Approved,28400000,22500000,Good
125,3, Graduate, No,200000,600000,16,821, Approved,600000,500000,Excellent
126,4, Not Graduate, Yes,400000,800000,10,859, Approved,1000000,1400000,Excellent
127,3, Not Graduate, No,5100000,18200000,10,395, Rejected,21800000,8100000,Poor
128,2, Not Graduate, Yes,700000,2600000,12,429, Rejected,3500000,2900000,Poor
129,3, Graduate, No,400000,1200000,12,861, Approved,1300000,800000,Excellent
130,0, Not Graduate, Yes,9500000,20800000,14,565, Approved,47300000,27000000,Fair
131,5, Graduate, No,8800000,22600000,10,357, Rejected,23100000,16500000,Poor
132,3, Not Graduate, Yes,1800000,3600000,18,465, Rejected,8000000,1100000,Poor
133,4, Not Graduate, Yes,6800000,13900000,8,479, Rejected,35300000,20800000,Poor
134,3, Not Graduate, No,1500000,5500000,16,717, Approved,5700000,2900000,Good
135,3, Graduate, No,1600000,5500000,12,425, Rejected,6300000,1400000,Poor
136,2, Not Graduate, No,4600000,16700000,2,786, Approved,20000000,6100000,Excellent
137,5, Not Graduate, Yes,2200000,6700000,6,382, Rejected,9700000,5700000,Poor
138,3, Not Graduate, Yes,2900000,8500000,12,564, Approved,9300000,4100000,Fair
139,0, Graduate, No,200000,700000,8,501, Rejected,800000,700000,Poor
140,2, Not Graduate, Yes,2500000,9400000,10,727, Approved,12800000,10700000,Good
141,4, Not Graduate, No,3600000,7500000,6,894, Approved,10200000,7600000,Excellent
142,0, Graduate, Yes,5500000,16700000,18,829, Approved,18700000,6800000,Excellent
143,4, Not Graduate, No,6600000,17400000,20,506, Rejected,33100000,12600000,Poor
144,2, Graduate, Yes,8600000,32100000,6,802, Approved,34300000,26100000,Excellent
145,5, Not Graduate, No,600000,1500000,14,543, Rejected,2400000,1200000,Poor
146,3, Graduate, Yes,1400000,3200000,20,772, Approved,6700000,3300000,Excellent
147,3, Graduate, No,4000000,11100000,12,572, Approved,14900000,9800000,Fair
148,0, Not Graduate, Yes,4900000,11900000,16,709, Approved,22300000,15500000,Good
149,5, Graduate, No,2000000,6200000,18,402, Rejected,8300000,6100000,Poor
150,1, Not Graduate, Yes,5200000,19300000,8,481, Rejected,23000000,23800000,Poor
151,5, Graduate, Yes,8900000,28800000,6,772, Approved,28800000,19100000,Excellent
152,1, Graduate, Yes,6500000,20600000,2,306, Approved,21300000,17800000,Poor
153,2, Not Graduate, No,1300000,4500000,6,415, Rejected,4100000,900000,Poor
154,3, Not Graduate, No,9400000,35000000,16,548, Rejected,40900000,22600000,Poor
155,5, Not Graduate, No,5000000,11200000,8,701, Approved,18600000,9600000,Good
156,2, Graduate, No,3000000,7700000,12,890, Approved,10500000,9000000,Excellent
157,5, Not Graduate, Yes,9900000,33300000,6,364, Rejected,36100000,24000000,Poor
158,5, Graduate, Yes,700000,1300000,20,704, Approved,2800000,1600000,Good
159,3, Graduate, Yes,4000000,10600000,10,318, Rejected,12900000,6600000,Poor
160,5, Not Graduate, No,3100000,9600000,2,761, Approved,14600000,7600000,Excellent
161,4, Not Graduate, No,4500000,15100000,6,693, Approved,23800000,5200000,Good
162,3, Not Graduate, No,9700000,20600000,16,524, Rejected,33500000,35300000,Poor
163,2, Not Graduate, Yes,2000000,5300000,10,681, Approved,7200000,6300000,Good
164,2, Graduate, Yes,8100000,22300000,18,737, Approved,34300000,34900000,Good
165,0, Not Graduate, No,5700000,15900000,16,638, Approved,20800000,9600000,Fair
166,4, Not Graduate, No,5800000,12800000,2,656, Approved,18800000,5500000,Good
167,1, Graduate, No,1800000,6500000,6,540, Rejected,6100000,5700000,Poor
168,4, Not Graduate, Yes,9100000,35200000,6,341, Rejected,31300000,1300000,Poor
169,0, Not Graduate, Yes,4800000,17500000,2,371, Approved,22200000,18500000,Poor
170,3, Not Graduate, Yes,3800000,10500000,12,886, Approved,17200000,4500000,Excellent
171,0, Not Graduate, No,1900000,4100000,18,801, Approved,6000000,1200000,Excellent
172,3, Not Graduate, Yes,3600000,9500000,16,748, Approved,12300000,10100000,Good
173,2, Not Graduate, Yes,7400000,28200000,8,376, Rejected,22600000,26900000,Poor
174,4, Not Graduate, Yes,6600000,14300000,8,371, Rejected,25900000,20300000,Poor
175,2, Graduate, No,1800000,5300000,6,826, Approved,7800000,5200000,Excellent
176,4, Not Graduate, No,9200000,27200000,12,873, Approved,45200000,6300000,Excellent
177,5, Not Graduate, Yes,2400000,8600000,8,309, Rejected,8500000,1100000,Poor
178,4, Not Graduate, No,5600000,13300000,20,869, Approved,26500000,10800000,Excellent
179,5, Graduate, No,3800000,13900000,12,534, Rejected,11000000,7600000,Poor
180,3, Not Graduate, Yes,4500000,17900000,6,787, Approved,18500000,13400000,Excellent
181,0, Graduate, Yes,900000,2200000,16,566, Approved,2600000,800000,Fair
182,0, Not Graduate, No,2800000,9900000,8,742, Approved,8400000,6200000,Good
183,2, Not Graduate, No,7500000,23100000,4,824, Approved,35800000,23000000,Excellent
184,4, Graduate, No,1400000,3100000,14,575, Approved,6300000,5100000,Fair
185,2, Graduate, Yes,3800000,10900000,10,766, Approved,11600000,5800000,Excellent
186,1, Not Graduate, Yes,1700000,5000000,10,888, Approved,6300000,3800000,Excellent
187,3, Graduate, Yes,9000000,30400000,6,638, Approved,36100000,27800000,Fair
188,5, Not Graduate, Yes,7300000,23300000,6,622, Approved,36900000,18700000,Fair
189,1, Not Graduate, No,7400000,19800000,18,458, Rejected,31700000,18800000,Poor
190,1, Not Graduate, No,9000000,28200000,16,327, Rejected,35200000,4000000,Poor
191,0, Not Graduate, No,3000000,6500000,2,612, Approved,8400000,12200000,Fair
192,1, Graduate, No,800000,2900000,8,682, Approved,3600000,3300000,Good
193,2, Graduate, No,4800000,13200000,2,583, Approved,14700000,19500000,Fair
194,5, Not Graduate, No,6400000,18300000,8,697, Approved,26100000,13600000,Good
195,3, Graduate, No,9200000,27100000,12,306, Rejected,37600000,17300000,Poor
196,4, Not Graduate, Yes,400000,1500000,2,669, Approved,1400000,500000,Good
197,2, Not Graduate, No,2800000,6000000,18,816, Approved,11400000,10500000,Excellent
198,4, Not Graduate, Yes,8500000,28900000,20,455, Rejected,31900000,21000000,Poor
199,3, Graduate, Yes,4700000,16400000,10,318, Rejected,20500000,19500000,Poor
200,4, Not Graduate, Yes,9800000,21200000,20,355, Rejected,46200000,30900000,Poor
201,2, Not Graduate, Yes,3800000,8900000,16,389, Rejected,14400000,5800000,Poor
202,2, Graduate, No,500000,1500000,2,888, Approved,2100000,1800000,Excellent
203,2, Graduate, Yes,6900000,15600000,6,352, Rejected,32600000,18300000,Poor
204,4, Not Graduate, Yes,9600000,30100000,12,870, Approved,43800000,7000000,Excellent
205,3, Not Graduate, No,2900000,6500000,18,827, Approved,13600000,8900000,Excellent
206,2, Graduate, No,9800000,20900000,12,768, Approved,52000000,13600000,Excellent
207,0, Graduate, No,7100000,15400000,18,707, Approved,25400000,21100000,Good
208,1, Not Graduate, Yes,7700000,19100000,10,355, Rejected,28500000,16200000,Poor
209,3, Graduate, No,1400000,3300000,2,652, Approved,5400000,2200000,Good
210,3, Graduate, No,7800000,15900000,2,665, Approved,32600000,15300000,Good
211,5, Not Graduate, Yes,1700000,6000000,18,420, Rejected,6000000,2100000,Poor
212,2, Not Graduate, No,8500000,32700000,18,471, Rejected,46400000,22000000,Poor
213,5, Not Graduate, No,1900000,7500000,20,715, Approved,9300000,7900000,Good
214,2, Not Graduate, Yes,6700000,15200000,10,689, Approved,21800000,8200000,Good
215,3, Graduate, Yes,6900000,16400000,4,787, Approved,30200000,17200000,Excellent
216,2, Graduate, No,2600000,7800000,4,819, Approved,7200000,7400000,Excellent
217,4, Graduate, Yes,9600000,21100000,6,809, Approved,43400000,25600000,Excellent
218,1, Not Graduate, Yes,6800000,17000000,2,744, Approved,27200000,19400000,Good
219,0, Not Graduate, No,3200000,11300000,6,484, Rejected,10600000,9000000,Poor
220,4, Not Graduate, No,2900000,10400000,6,673, Approved,12300000,6800000,Good
221,3, Graduate, Yes,7900000,21200000,18,695, Approved,26700000,24400000,Good
222,4, Not Graduate, Yes,3900000,12400000,12,473, Rejected,16900000,11100000,Poor
223,4, Graduate, Yes,4600000,11000000,2,491, Rejected,19600000,13000000,Poor
224,3, Not Graduate, Yes,700000,1700000,8,733, Approved,2900000,2000000,Good
225,0, Not Graduate, No,5200000,15600000,20,434, Rejected,23600000,19900000,Poor
226,3, Not Graduate, Yes,5900000,20600000,10,777, Approved,27600000,6500000,Excellent
227,4, Graduate, No,7200000,19100000,4,774, Approved,21500000,16400000,Excellent
228,1, Not Graduate, Yes,8700000,27000000,10,717, Approved,26600000,34100000,Good
229,3, Not Graduate, Yes,1100000,3500000,12,503, Rejected,3400000,3400000,Poor
230,1, Graduate, Yes,4000000,10900000,14,598, Approved,18000000,10200000,Fair
231,2, Graduate, No,9800000,32400000,2,543, Approved,33400000,41700000,Poor
232,0, Not Graduate, Yes,2700000,6800000,20,796, Approved,8900000,4900000,Excellent
233,3, Not Graduate, Yes,8800000,34600000,8,386, Rejected,24400000,31300000,Poor
234,5, Not Graduate, Yes,3300000,7800000,16,632, Approved,12000000,9000000,Fair
235,1, Graduate, Yes,6900000,23400000,4,481, Approved,33600000,19800000,Poor
236,3, Graduate, Yes,900000,3500000,4,770, Rejected,2600000,700000,Excellent
237,3, Graduate, Yes,4100000,15500000,6,667, Approved,18700000,4400000,Good
238,3, Not Graduate, Yes,4700000,17500000,8,585, Approved,14500000,4300000,Fair
239,5, Graduate, Yes,3400000,11600000,16,479, Rejected,13600000,14900000,Poor
240,2, Graduate, No,9600000,22500000,18,851, Approved,37000000,23600000,Excellent
241,3, Not Graduate, Yes,7000000,16200000,6,378, Rejected,25800000,32600000,Poor
242,5, Graduate, No,5700000,12900000,18,807, Approved,24100000,5000000,Excellent
243,1, Not Graduate, Yes,8200000,32400000,18,831, Approved,25500000,35100000,Excellent
244,2, Not Graduate, No,2100000,5100000,12,674, Approved,8800000,5400000,Good
245,1, Not Graduate, Yes,8000000,28100000,18,725, Approved,30500000,14700000,Good
246,2, Not Graduate, No,8000000,29300000,4,600, Approved,35900000,29700000,Fair
247,0, Not Graduate, Yes,9400000,27000000,10,536, Rejected,38600000,6100000,Poor
248,0, Graduate, No,8400000,20600000,10,477, Rejected,36900000,3000000,Poor
249,1, Not Graduate, Yes,1900000,5000000,6,560, Approved,7700000,2900000,Fair
250,0, Not Graduate, Yes,4200000,16400000,20,539, Rejected,14500000,11600000,Poor
251,5, Graduate, No,2600000,9100000,8,852, Approved,13600000,4400000,Excellent
252,3, Not Graduate, No,3700000,8500000,20,853, Approved,12400000,14000000,Excellent
253,0, Graduate, No,8800000,30900000,12,729, Approved,37100000,2400000,Good
254,2, Not Graduate, No,2100000,4700000,2,546, Rejected,7200000,9200000,Poor
255,3, Graduate, Yes,900000,2400000,10,489, Rejected,3300000,800000,Poor
256,3, Graduate, Yes,9800000,35400000,6,869, Approved,33100000,30800000,Excellent
257,2, Not Graduate, No,8000000,20000000,2,502, Rejected,41500000,6300000,Poor
258,0, Graduate, No,9800000,38800000,8,652, Approved,35100000,42200000,Good
259,0, Not Graduate, Yes,300000,1100000,8,789, Approved,1200000,500000,Excellent
260,4, Not Graduate, No,2700000,8100000,4,325, Approved,13300000,5800000,Poor
261,3, Graduate, Yes,7400000,19600000,2,716, Approved,33300000,13000000,Good
262,3, Graduate, No,9200000,34300000,18,523, Rejected,37900000,29600000,Poor
263,5, Not Graduate, No,9500000,22200000,20,352, Rejected,37800000,24500000,Poor
264,5, Graduate, Yes,3800000,14400000,2,345, Approved,17700000,4100000,Poor
265,0, Graduate, No,8300000,19400000,18,649, Approved,35600000,18600000,Fair
266,2, Graduate, Yes,2800000,7400000,18,666, Approved,9700000,2400000,Good
267,0, Graduate, No,8600000,20900000,10,813, Approved,30800000,23200000,Excellent
268,0, Not Graduate, No,5400000,16800000,10,599, Approved,22100000,12700000,Fair
269,5, Graduate, Yes,4200000,9400000,6,678, Approved,15600000,10200000,Good
270,5, Not Graduate, No,5200000,12200000,20,513, Rejected,22200000,15400000,Poor
271,5, Graduate, No,9400000,27900000,4,870, Approved,39900000,1300000,Excellent
272,3, Graduate, No,8800000,20400000,8,483, Rejected,40000000,14600000,Poor
273,1, Graduate, Yes,5900000,16700000,16,308, Rejected,24400000,14600000,Poor
274,3, Graduate, Yes,1700000,4900000,16,591, Approved,5700000,5700000,Fair
275,1, Not Graduate, No,7000000,23000000,10,886, Approved,30300000,17700000,Excellent
276,4, Not Graduate, No,1700000,4000000,6,829, Approved,6900000,1600000,Excellent
277,0, Not Graduate, No,1500000,4900000,12,651, Approved,5400000,4400000,Good
278,4, Not Graduate, No,2000000,4700000,18,733, Approved,9800000,7400000,Good
279,5, Graduate, Yes,3900000,15500000,12,433, Rejected,12500000,14900000,Poor
280,1, Graduate, Yes,900000,3600000,14,713, Approved,3000000,2300000,Good
281,1, Graduate, No,6900000,22500000,18,403, Rejected,23200000,9200000,Poor
282,0, Graduate, Yes,2800000,7800000,10,405, Rejected,10500000,10300000,Poor
283,3, Graduate, Yes,6800000,19900000,10,516, Rejected,34500000,22000000,Poor
284,4, Not Graduate, Yes,600000,1800000,8,417, Rejected,2600000,2400000,Poor
285,1, Not Graduate, No,4700000,14000000,6,468, Rejected,15200000,13100000,Poor
286,5, Graduate, Yes,3000000,11800000,10,672, Approved,13900000,12300000,Good
287,5, Not Graduate, No,4000000,13900000,6,530, Rejected,18500000,11600000,Poor
288,1, Not Graduate, Yes,3100000,11300000,14,824, Approved,15400000,9700000,Excellent
289,1, Not Graduate, Yes,7700000,25500000,12,549, Rejected,27500000,28700000,Poor
290,5, Not Graduate, Yes,4300000,9300000,10,450, Rejected,14100000,8800000,Poor
291,1, Graduate, Yes,5800000,19500000,20,431, Rejected,18900000,18800000,Poor
292,3, Graduate, Yes,3600000,10700000,16,312, Rejected,18300000,3900000,Poor
293,0, Not Graduate, Yes,2900000,7600000,8,320, Rejected,12700000,13600000,Poor
294,0, Graduate, No,8800000,20200000,4,433, Rejected,42900000,20200000,Poor
295,1, Not Graduate, Yes,300000,1000000,10,431, Rejected,1000000,900000,Poor
296,5, Not Graduate, Yes,8600000,28900000,8,516, Rejected,37000000,11700000,Poor
297,2, Not Graduate, Yes,3500000,12000000,14,476, Rejected,15300000,7900000,Poor
298,5, Graduate, No,800000,2600000,6,560, Approved,4000000,300000,Fair
299,2, Graduate, No,8000000,27100000,12,674, Approved,31700000,14800000,Good
300,0, Not Graduate, Yes,9900000,38200000,6,573, Approved,26000000,27200000,Fair
301,2, Not Graduate, No,3300000,6600000,6,331, Rejected,11600000,8300000,Poor
302,4, Graduate, Yes,2000000,6700000,12,633, Approved,6800000,900000,Fair
303,3, Not Graduate, No,4900000,12900000,18,877, Approved,21200000,8800000,Excellent
304,5, Not Graduate, Yes,9200000,23600000,12,656, Approved,41300000,12600000,Good
305,0, Not Graduate, No,7500000,18200000,6,782, Approved,23900000,19400000,Excellent
306,5, Not Graduate, No,9000000,29300000,4,531, Approved,41300000,19900000,Poor
307,3, Not Graduate, No,1400000,4100000,8,455, Rejected,5000000,4400000,Poor
308,3, Graduate, No,9600000,19900000,14,452, Rejected,35100000,20400000,Poor
309,2, Graduate, No,8400000,33200000,14,474, Rejected,36900000,34600000,Poor
310,3, Not Graduate, No,6400000,24400000,4,483, Approved,23600000,10200000,Poor
311,4, Graduate, No,5900000,16800000,8,481, Rejected,22800000,18300000,Poor
312,2, Graduate, Yes,2200000,5100000,20,859, Approved,9500000,5000000,Excellent
313,4, Graduate, Yes,5600000,14100000,14,696, Approved,23300000,18200000,Good
314,4, Not Graduate, No,9800000,28700000,6,778, Approved,40800000,24000000,Excellent
315,4, Graduate, No,4400000,14600000,4,499, Approved,21800000,7800000,Poor
316,2, Not Graduate, Yes,2400000,4900000,4,888, Approved,8500000,10700000,Excellent
317,1, Graduate, No,4400000,10800000,12,674, Approved,22500000,12300000,Good
318,4, Graduate, No,3700000,13200000,4,802, Approved,16800000,12200000,Excellent
319,4, Not Graduate, Yes,2300000,7800000,8,540, Rejected,7500000,4900000,Poor
320,4, Graduate, Yes,5900000,19600000,8,726, Approved,28100000,24200000,Good
321,4, Not Graduate, Yes,6400000,23500000,2,485, Approved,27500000,10000000,Poor
322,4, Graduate, Yes,4900000,17100000,6,612, Approved,24500000,8300000,Fair
323,3, Not Graduate, Yes,9500000,24200000,8,879, Approved,39100000,20300000,Excellent
324,2, Not Graduate, No,5700000,16400000,12,708, Approved,19400000,4500000,Good
325,2, Not Graduate, Yes,2700000,5700000,8,850, Approved,14400000,8500000,Excellent
326,2, Not Graduate, Yes,3900000,11300000,12,516, Rejected,15000000,3100000,Poor
327,0, Not Graduate, No,7800000,28800000,12,465, Rejected,36200000,12200000,Poor
328,0, Graduate, No,1100000,3200000,20,716, Approved,5100000,3200000,Good
329,4, Not Graduate, No,200000,600000,10,404, Rejected,400000,100000,Poor
330,0, Not Graduate, Yes,4700000,10600000,20,512, Rejected,19300000,12400000,Poor
331,3, Not Graduate, Yes,8200000,20600000,10,441, Rejected,35200000,27500000,Poor
332,2, Not Graduate, Yes,4600000,18400000,2,555, Approved,18400000,10100000,Fair
333,5, Not Graduate, No,1800000,7000000,18,466, Rejected,7900000,4700000,Poor
334,3, Graduate, Yes,3200000,8600000,2,427, Rejected,11800000,5700000,Poor
