 no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets,loan_to_income_ratio,assets_to_loan_ratio, cibil_category
3, Not Graduate, Yes,9600000,30500000,18,669, Approved,35800000,6600000,3.1770833333333335,1.3901639344262295,Good
5, Not Graduate, Yes,8800000,28900000,6,365, Rejected,32100000,33000000,3.284090909090909,2.2525951557093427,Poor
3, Not Graduate, Yes,3300000,7500000,20,586, Approved,13400000,7200000,2.272727272727273,2.7466666666666666,Fair
4, Graduate, Yes,3900000,12300000,18,784, Approved,15900000,14500000,3.1538461538461537,2.4715447154471546,Excellent
1, Graduate, No,4100000,10300000,12,364, Rejected,17700000,15600000,2.5121951219512195,3.233009708737864,Poor
3, Not Graduate, No,8300000,29100000,10,715, Approved,36000000,18000000,3.5060240963855422,1.8556701030927836,Good
0, Not Graduate, Yes,2700000,10100000,20,693, Rejected,7300000,1900000,3.740740740740741,0.9108910891089109,Good
4, Graduate, No,5600000,12400000,4,777, Approved,17300000,8600000,2.2142857142857144,2.088709677419355,Excellent
0, Graduate, No,1900000,5000000,12,312, Rejected,7300000,6800000,2.6315789473684212,2.82,Poor
4, Not Graduate, Yes,500000,1500000,20,340, Rejected,2500000,300000,3.0,1.8666666666666667,Poor
5, Graduate, Yes,5300000,18600000,4,386, Approved,16100000,12400000,3.509433962264151,1.532258064516129,Poor
5, Not Graduate, No,7000000,18300000,4,418, Rejected,29100000,30100000,2.6142857142857143,3.2349726775956285,Poor
3, Not Graduate, Yes,5800000,16700000,16,735, Approved,18200000,13300000,2.8793103448275863,1.8862275449101797,Good
2, Not Graduate, No,2600000,8400000,6,494, Rejected,7600000,10300000,3.230769230769231,2.130952380952381,Poor
2, Not Graduate, No,1900000,6500000,18,671, Approved,5900000,3100000,3.4210526315789473,1.3846153846153846,Good
4, Graduate, No,5700000,14800000,16,697, Approved,19200000,22100000,2.5964912280701755,2.7905405405405403,Good
0, Graduate, No,9000000,33500000,8,801, Approved,46500000,20500000,3.7222222222222223,2.0,Excellent
2, Not Graduate, No,8500000,29400000,12,576, Approved,34200000,23200000,3.458823529411765,1.9523809523809523,Fair
0, Not Graduate, No,700000,1400000,14,639, Approved,3300000,2600000,2.0,4.214285714285714,Fair
4, Graduate, No,3500000,8900000,4,470, Rejected,14300000,3500000,2.5428571428571427,2.0,Poor
0, Not Graduate, No,8800000,31200000,4,826, Approved,41900000,3400000,3.5454545454545454,1.4519230769230769,Excellent
2, Not Graduate, Yes,9900000,21200000,16,363, Rejected,33400000,36900000,2.1414141414141414,3.3160377358490565,Poor
3, Graduate, No,3600000,8600000,20,613, Approved,13600000,9700000,2.388888888888889,2.7093023255813953,Fair
3, Not Graduate, Yes,3000000,8200000,16,713, Approved,14400000,11100000,2.7333333333333334,3.1097560975609757,Good
2, Graduate, No,6800000,21200000,16,439, Rejected,26900000,21800000,3.1176470588235294,2.297169811320755,Poor
5, Not Graduate, Yes,1100000,3800000,18,387, Rejected,5400000,2500000,3.4545454545454546,2.0789473684210527,Poor
1, Not Graduate, Yes,8700000,28300000,8,402, Rejected,38100000,34000000,3.2528735632183907,2.547703180212014,Poor
4, Graduate, Yes,2000000,8000000,6,837, Approved,6800000,7700000,4.0,1.8125,Excellent
2, Not Graduate, No,9800000,37600000,10,641, Approved,31000000,24100000,3.836734693877551,1.4654255319148937,Fair
4, Graduate, No,5700000,21100000,18,489, Rejected,18500000,4800000,3.7017543859649122,1.1042654028436019,Poor
4, Graduate, No,8800000,20700000,18,540, Rejected,35100000,22400000,2.352272727272727,2.7777777777777777,Poor
4, Graduate, No,3800000,8900000,4,844, Approved,17800000,12600000,2.3421052631578947,3.4157303370786516,Excellent
1, Graduate, No,1700000,6400000,10,452, Rejected,7700000,2000000,3.764705882352941,1.515625,Poor
2, Graduate, No,1000000,2000000,10,366, Rejected,4500000,1600000,2.0,3.05,Poor
5, Graduate, No,300000,1100000,2,300, Approved,1100000,600000,3.6666666666666665,1.5454545454545454,Poor
2, Graduate, Yes,6600000,15000000,18,470, Rejected,25200000,6000000,2.272727272727273,2.08,Poor
2, Not Graduate, No,8700000,25000000,20,861, Approved,30500000,23200000,2.8735632183908044,2.148,Excellent
4, Graduate, No,9400000,29400000,12,562, Approved,43500000,41100000,3.127659574468085,2.877551020408163,Fair
0, Graduate, No,4400000,10800000,14,463, Rejected,18500000,7200000,2.4545454545454546,2.3796296296296298,Poor
4, Not Graduate, No,400000,900000,12,478, Rejected,1300000,800000,2.25,2.3333333333333335,Poor
2, Not Graduate, Yes,300000,1100000,2,702, Approved,700000,500000,3.6666666666666665,1.0909090909090908,Good
2, Not Graduate, Yes,4300000,12900000,20,618, Approved,13800000,15000000,3.0,2.2325581395348837,Fair
4, Graduate, No,1600000,4500000,12,633, Approved,6000000,2400000,2.8125,1.8666666666666667,Fair
5, Not Graduate, Yes,6200000,23600000,10,331, Rejected,32500000,28800000,3.806451612903226,2.597457627118644,Poor
3, Not Graduate, Yes,4200000,9700000,16,841, Approved,21800000,8100000,2.3095238095238093,3.082474226804124,Excellent
4, Not Graduate, Yes,9000000,18100000,12,764, Approved,32400000,17100000,2.011111111111111,2.734806629834254,Excellent
0, Graduate, No,2700000,10600000,6,591, Approved,11700000,4000000,3.925925925925926,1.4811320754716981,Fair
1, Graduate, Yes,9700000,35900000,2,719, Approved,31300000,27200000,3.7010309278350517,1.6295264623955432,Good
2, Graduate, No,3300000,6800000,14,317, Rejected,15300000,3700000,2.0606060606060606,2.7941176470588234,Poor
0, Not Graduate, No,300000,1100000,8,778, Approved,1000000,1000000,3.6666666666666665,1.8181818181818181,Excellent
3, Graduate, Yes,7400000,18200000,14,302, Rejected,22900000,8700000,2.4594594594594597,1.7362637362637363,Poor
5, Not Graduate, No,7100000,19700000,8,502, Rejected,35100000,12900000,2.7746478873239435,2.436548223350254,Poor
5, Not Graduate, Yes,7300000,22100000,18,879, Approved,29100000,30100000,3.0273972602739727,2.678733031674208,Excellent
1, Not Graduate, No,8400000,23400000,14,437, Rejected,41500000,21200000,2.7857142857142856,2.6794871794871793,Poor
0, Not Graduate, Yes,3300000,10800000,12,797, Approved,11000000,6600000,3.272727272727273,1.6296296296296295,Excellent
4, Not Graduate, Yes,5800000,23200000,18,456, Rejected,30100000,20300000,4.0,2.1724137931034484,Poor
0, Not Graduate, No,600000,1600000,6,647, Approved,2200000,2100000,2.6666666666666665,2.6875,Fair
0, Not Graduate, No,7200000,15800000,12,379, Rejected,25100000,24900000,2.1944444444444446,3.1645569620253164,Poor
1, Not Graduate, Yes,9100000,32900000,2,717, Approved,29500000,4200000,3.6153846153846154,1.0243161094224924,Good
5, Graduate, No,900000,2300000,16,545, Rejected,3500000,300000,2.5555555555555554,1.6521739130434783,Poor
2, Graduate, No,800000,3200000,8,317, Rejected,2900000,1300000,4.0,1.3125,Poor
1, Not Graduate, No,8500000,32900000,10,570, Approved,26000000,11300000,3.8705882352941177,1.1337386018237081,Fair
0, Not Graduate, Yes,9000000,18700000,18,865, Approved,32200000,26800000,2.077777777777778,3.1550802139037435,Excellent
3, Graduate, No,7000000,19500000,14,719, Approved,28400000,22500000,2.7857142857142856,2.6102564102564103,Good
3, Graduate, No,200000,600000,16,821, Approved,600000,500000,3.0,1.8333333333333333,Excellent
4, Not Graduate, Yes,400000,800000,10,859, Approved,1000000,1400000,2.0,3.0,Excellent
3, Not Graduate, No,5100000,18200000,10,395, Rejected,21800000,8100000,3.5686274509803924,1.6428571428571428,Poor
2, Not Graduate, Yes,700000,2600000,12,429, Rejected,3500000,2900000,3.7142857142857144,2.4615384615384617,Poor
3, Graduate, No,400000,1200000,12,861, Approved,1300000,800000,3.0,1.75,Excellent
0, Not Graduate, Yes,9500000,20800000,14,565, Approved,47300000,27000000,2.1894736842105265,3.5721153846153846,Fair
5, Graduate, No,8800000,22600000,10,357, Rejected,23100000,16500000,2.5681818181818183,1.752212389380531,Poor
3, Not Graduate, Yes,1800000,3600000,18,465, Rejected,8000000,1100000,2.0,2.5277777777777777,Poor
4, Not Graduate, Yes,6800000,13900000,8,479, Rejected,35300000,20800000,2.0441176470588234,4.0359712230215825,Poor
3, Not Graduate, No,1500000,5500000,16,717, Approved,5700000,2900000,3.6666666666666665,1.5636363636363637,Good
3, Graduate, No,1600000,5500000,12,425, Rejected,6300000,1400000,3.4375,1.4,Poor
2, Not Graduate, No,4600000,16700000,2,786, Approved,20000000,6100000,3.630434782608696,1.562874251497006,Excellent
5, Not Graduate, Yes,2200000,6700000,6,382, Rejected,9700000,5700000,3.0454545454545454,2.298507462686567,Poor
3, Not Graduate, Yes,2900000,8500000,12,564, Approved,9300000,4100000,2.9310344827586206,1.576470588235294,Fair
0, Graduate, No,200000,700000,8,501, Rejected,800000,700000,3.5,2.142857142857143,Poor
2, Not Graduate, Yes,2500000,9400000,10,727, Approved,12800000,10700000,3.76,2.5,Good
4, Not Graduate, No,3600000,7500000,6,894, Approved,10200000,7600000,2.0833333333333335,2.3733333333333335,Excellent
0, Graduate, Yes,5500000,16700000,18,829, Approved,18700000,6800000,3.036363636363636,1.526946107784431,Excellent
4, Not Graduate, No,6600000,17400000,20,506, Rejected,33100000,12600000,2.6363636363636362,2.6264367816091956,Poor
2, Graduate, Yes,8600000,32100000,6,802, Approved,34300000,26100000,3.7325581395348837,1.881619937694704,Excellent
5, Not Graduate, No,600000,1500000,14,543, Rejected,2400000,1200000,2.5,2.4,Poor
3, Graduate, Yes,1400000,3200000,20,772, Approved,6700000,3300000,2.2857142857142856,3.125,Excellent
3, Graduate, No,4000000,11100000,12,572, Approved,14900000,9800000,2.775,2.225225225225225,Fair
0, Not Graduate, Yes,4900000,11900000,16,709, Approved,22300000,15500000,2.4285714285714284,3.176470588235294,Good
5, Graduate, No,2000000,6200000,18,402, Rejected,8300000,6100000,3.1,2.3225806451612905,Poor
1, Not Graduate, Yes,5200000,19300000,8,481, Rejected,23000000,23800000,3.7115384615384617,2.4248704663212437,Poor
5, Graduate, Yes,8900000,28800000,6,772, Approved,28800000,19100000,3.235955056179775,1.6631944444444444,Excellent
1, Graduate, Yes,6500000,20600000,2,306, Approved,21300000,17800000,3.169230769230769,1.8980582524271845,Poor
2, Not Graduate, No,1300000,4500000,6,415, Rejected,4100000,900000,3.4615384615384617,1.1111111111111112,Poor
3, Not Graduate, No,9400000,35000000,16,548, Rejected,40900000,22600000,3.723404255319149,1.8142857142857143,Poor
5, Not Graduate, No,5000000,11200000,8,701, Approved,18600000,9600000,2.24,2.517857142857143,Good
2, Graduate, No,3000000,7700000,12,890, Approved,10500000,9000000,2.566666666666667,2.5324675324675323,Excellent
5, Not Graduate, Yes,9900000,33300000,6,364, Rejected,36100000,24000000,3.3636363636363638,1.8048048048048049,Poor
5, Graduate, Yes,700000,1300000,20,704, Approved,2800000,1600000,1.8571428571428572,3.3846153846153846,Good
3, Graduate, Yes,4000000,10600000,10,318, Rejected,12900000,6600000,2.65,1.8396226415094339,Poor
5, Not Graduate, No,3100000,9600000,2,761, Approved,14600000,7600000,3.096774193548387,2.3125,Excellent
4, Not Graduate, No,4500000,15100000,6,693, Approved,23800000,5200000,3.3555555555555556,1.9205298013245033,Good
3, Not Graduate, No,9700000,20600000,16,524, Rejected,33500000,35300000,2.1237113402061856,3.3398058252427183,Poor
2, Not Graduate, Yes,2000000,5300000,10,681, Approved,7200000,6300000,2.65,2.547169811320755,Good
2, Graduate, Yes,8100000,22300000,18,737, Approved,34300000,34900000,2.753086419753086,3.103139013452915,Good
0, Not Graduate, No,5700000,15900000,16,638, Approved,20800000,9600000,2.789473684210526,1.9119496855345912,Fair
4, Not Graduate, No,5800000,12800000,2,656, Approved,18800000,5500000,2.206896551724138,1.8984375,Good
1, Graduate, No,1800000,6500000,6,540, Rejected,6100000,5700000,3.611111111111111,1.8153846153846154,Poor
4, Not Graduate, Yes,9100000,35200000,6,341, Rejected,31300000,1300000,3.868131868131868,0.9261363636363636,Poor
0, Not Graduate, Yes,4800000,17500000,2,371, Approved,22200000,18500000,3.6458333333333335,2.3257142857142856,Poor
3, Not Graduate, Yes,3800000,10500000,12,886, Approved,17200000,4500000,2.763157894736842,2.066666666666667,Excellent
0, Not Graduate, No,1900000,4100000,18,801, Approved,6000000,1200000,2.1578947368421053,1.7560975609756098,Excellent
3, Not Graduate, Yes,3600000,9500000,16,748, Approved,12300000,10100000,2.638888888888889,2.357894736842105,Good
2, Not Graduate, Yes,7400000,28200000,8,376, Rejected,22600000,26900000,3.810810810810811,1.7553191489361701,Poor
4, Not Graduate, Yes,6600000,14300000,8,371, Rejected,25900000,20300000,2.1666666666666665,3.230769230769231,Poor
2, Graduate, No,1800000,5300000,6,826, Approved,7800000,5200000,2.9444444444444446,2.452830188679245,Excellent
4, Not Graduate, No,9200000,27200000,12,873, Approved,45200000,6300000,2.9565217391304346,1.8933823529411764,Excellent
5, Not Graduate, Yes,2400000,8600000,8,309, Rejected,8500000,1100000,3.5833333333333335,1.1162790697674418,Poor
4, Not Graduate, No,5600000,13300000,20,869, Approved,26500000,10800000,2.375,2.8045112781954886,Excellent
5, Graduate, No,3800000,13900000,12,534, Rejected,11000000,7600000,3.6578947368421053,1.3381294964028776,Poor
3, Not Graduate, Yes,4500000,17900000,6,787, Approved,18500000,13400000,3.977777777777778,1.782122905027933,Excellent
0, Graduate, Yes,900000,2200000,16,566, Approved,2600000,800000,2.4444444444444446,1.5454545454545454,Fair
0, Not Graduate, No,2800000,9900000,8,742, Approved,8400000,6200000,3.5357142857142856,1.4747474747474747,Good
2, Not Graduate, No,7500000,23100000,4,824, Approved,35800000,23000000,3.08,2.5454545454545454,Excellent
4, Graduate, No,1400000,3100000,14,575, Approved,6300000,5100000,2.2142857142857144,3.6774193548387095,Fair
2, Graduate, Yes,3800000,10900000,10,766, Approved,11600000,5800000,2.8684210526315788,1.5963302752293578,Excellent
1, Not Graduate, Yes,1700000,5000000,10,888, Approved,6300000,3800000,2.9411764705882355,2.02,Excellent
3, Graduate, Yes,9000000,30400000,6,638, Approved,36100000,27800000,3.3777777777777778,2.101973684210526,Fair
5, Not Graduate, Yes,7300000,23300000,6,622, Approved,36900000,18700000,3.191780821917808,2.3862660944206007,Fair
1, Not Graduate, No,7400000,19800000,18,458, Rejected,31700000,18800000,2.675675675675676,2.5505050505050506,Poor
1, Not Graduate, No,9000000,28200000,16,327, Rejected,35200000,4000000,3.1333333333333333,1.3900709219858156,Poor
0, Not Graduate, No,3000000,6500000,2,612, Approved,8400000,12200000,2.1666666666666665,3.169230769230769,Fair
1, Graduate, No,800000,2900000,8,682, Approved,3600000,3300000,3.625,2.3793103448275863,Good
2, Graduate, No,4800000,13200000,2,583, Approved,14700000,19500000,2.75,2.590909090909091,Fair
5, Not Graduate, No,6400000,18300000,8,697, Approved,26100000,13600000,2.859375,2.169398907103825,Good
3, Graduate, No,9200000,27100000,12,306, Rejected,37600000,17300000,2.9456521739130435,2.025830258302583,Poor
4, Not Graduate, Yes,400000,1500000,2,669, Approved,1400000,500000,3.75,1.2666666666666666,Good
2, Not Graduate, No,2800000,6000000,18,816, Approved,11400000,10500000,2.142857142857143,3.65,Excellent
4, Not Graduate, Yes,8500000,28900000,20,455, Rejected,31900000,21000000,3.4,1.8304498269896194,Poor
3, Graduate, Yes,4700000,16400000,10,318, Rejected,20500000,19500000,3.4893617021276597,2.4390243902439024,Poor
4, Not Graduate, Yes,9800000,21200000,20,355, Rejected,46200000,30900000,2.163265306122449,3.6367924528301887,Poor
2, Not Graduate, Yes,3800000,8900000,16,389, Rejected,14400000,5800000,2.3421052631578947,2.269662921348315,Poor
2, Graduate, No,500000,1500000,2,888, Approved,2100000,1800000,3.0,2.6,Excellent
2, Graduate, Yes,6900000,15600000,6,352, Rejected,32600000,18300000,2.260869565217391,3.2628205128205128,Poor
4, Not Graduate, Yes,9600000,30100000,12,870, Approved,43800000,7000000,3.1354166666666665,1.6877076411960132,Excellent
3, Not Graduate, No,2900000,6500000,18,827, Approved,13600000,8900000,2.2413793103448274,3.4615384615384617,Excellent
2, Graduate, No,9800000,20900000,12,768, Approved,52000000,13600000,2.13265306122449,3.138755980861244,Excellent
0, Graduate, No,7100000,15400000,18,707, Approved,25400000,21100000,2.1690140845070425,3.0194805194805197,Good
1, Not Graduate, Yes,7700000,19100000,10,355, Rejected,28500000,16200000,2.4805194805194803,2.3403141361256545,Poor
3, Graduate, No,1400000,3300000,2,652, Approved,5400000,2200000,2.357142857142857,2.303030303030303,Good
3, Graduate, No,7800000,15900000,2,665, Approved,32600000,15300000,2.0384615384615383,3.0125786163522013,Good
5, Not Graduate, Yes,1700000,6000000,18,420, Rejected,6000000,2100000,3.5294117647058822,1.35,Poor
2, Not Graduate, No,8500000,32700000,18,471, Rejected,46400000,22000000,3.847058823529412,2.091743119266055,Poor
5, Not Graduate, No,1900000,7500000,20,715, Approved,9300000,7900000,3.9473684210526314,2.2933333333333334,Good
2, Not Graduate, Yes,6700000,15200000,10,689, Approved,21800000,8200000,2.2686567164179103,1.9736842105263157,Good
3, Graduate, Yes,6900000,16400000,4,787, Approved,30200000,17200000,2.3768115942028984,2.8902439024390243,Excellent
2, Graduate, No,2600000,7800000,4,819, Approved,7200000,7400000,3.0,1.8717948717948718,Excellent
4, Graduate, Yes,9600000,21100000,6,809, Approved,43400000,25600000,2.1979166666666665,3.2701421800947865,Excellent
1, Not Graduate, Yes,6800000,17000000,2,744, Approved,27200000,19400000,2.5,2.7411764705882353,Good
0, Not Graduate, No,3200000,11300000,6,484, Rejected,10600000,9000000,3.53125,1.7345132743362832,Poor
4, Not Graduate, No,2900000,10400000,6,673, Approved,12300000,6800000,3.586206896551724,1.8365384615384615,Good
3, Graduate, Yes,7900000,21200000,18,695, Approved,26700000,24400000,2.6835443037974684,2.410377358490566,Good
4, Not Graduate, Yes,3900000,12400000,12,473, Rejected,16900000,11100000,3.1794871794871793,2.2580645161290325,Poor
4, Graduate, Yes,4600000,11000000,2,491, Rejected,19600000,13000000,2.391304347826087,2.963636363636364,Poor
3, Not Graduate, Yes,700000,1700000,8,733, Approved,2900000,2000000,2.4285714285714284,2.8823529411764706,Good
0, Not Graduate, No,5200000,15600000,20,434, Rejected,23600000,19900000,3.0,2.7884615384615383,Poor
3, Not Graduate, Yes,5900000,20600000,10,777, Approved,27600000,6500000,3.4915254237288136,1.6553398058252426,Excellent
4, Graduate, No,7200000,19100000,4,774, Approved,21500000,16400000,2.6527777777777777,1.9842931937172774,Excellent
1, Not Graduate, Yes,8700000,27000000,10,717, Approved,26600000,34100000,3.103448275862069,2.248148148148148,Good
3, Not Graduate, Yes,1100000,3500000,12,503, Rejected,3400000,3400000,3.1818181818181817,1.9428571428571428,Poor
1, Graduate, Yes,4000000,10900000,14,598, Approved,18000000,10200000,2.725,2.5871559633027523,Fair
2, Graduate, No,9800000,32400000,2,543, Approved,33400000,41700000,3.306122448979592,2.317901234567901,Poor
0, Not Graduate, Yes,2700000,6800000,20,796, Approved,8900000,4900000,2.5185185185185186,2.0294117647058822,Excellent
3, Not Graduate, Yes,8800000,34600000,8,386, Rejected,24400000,31300000,3.9318181818181817,1.6098265895953756,Poor
5, Not Graduate, Yes,3300000,7800000,16,632, Approved,12000000,9000000,2.3636363636363638,2.6923076923076925,Fair
1, Graduate, Yes,6900000,23400000,4,481, Approved,33600000,19800000,3.391304347826087,2.282051282051282,Poor
3, Graduate, Yes,900000,3500000,4,770, Rejected,2600000,700000,3.888888888888889,0.9428571428571428,Excellent
3, Graduate, Yes,4100000,15500000,6,667, Approved,18700000,4400000,3.7804878048780486,1.4903225806451612,Good
3, Not Graduate, Yes,4700000,17500000,8,585, Approved,14500000,4300000,3.723404255319149,1.0742857142857143,Fair
5, Graduate, Yes,3400000,11600000,16,479, Rejected,13600000,14900000,3.411764705882353,2.456896551724138,Poor
2, Graduate, No,9600000,22500000,18,851, Approved,37000000,23600000,2.34375,2.6933333333333334,Excellent
3, Not Graduate, Yes,7000000,16200000,6,378, Rejected,25800000,32600000,2.3142857142857145,3.6049382716049383,Poor
5, Graduate, No,5700000,12900000,18,807, Approved,24100000,5000000,2.263157894736842,2.255813953488372,Excellent
1, Not Graduate, Yes,8200000,32400000,18,831, Approved,25500000,35100000,3.951219512195122,1.8703703703703705,Excellent
2, Not Graduate, No,2100000,5100000,12,674, Approved,8800000,5400000,2.4285714285714284,2.784313725490196,Good
1, Not Graduate, Yes,8000000,28100000,18,725, Approved,30500000,14700000,3.5125,1.6085409252669038,Good
2, Not Graduate, No,8000000,29300000,4,600, Approved,35900000,29700000,3.6625,2.2389078498293515,Fair
0, Not Graduate, Yes,9400000,27000000,10,536, Rejected,38600000,6100000,2.872340425531915,1.6555555555555554,Poor
0, Graduate, No,8400000,20600000,10,477, Rejected,36900000,3000000,2.4523809523809526,1.9368932038834952,Poor
1, Not Graduate, Yes,1900000,5000000,6,560, Approved,7700000,2900000,2.6315789473684212,2.12,Fair
